NSE/ALFALAVAL,Alfa Laval (India) Limited
NSE/ABAN,Aban Offshore Limited
NSE/AHLUCONT,Ahluwalia Contracts (India) Limited
NSE/ANDHRABANK,Andhra Bank
NSE/ARSHIYA,Arshiya Limited
NSE/BALKRISIND,Balkrishna Industries Limited
NSE/BFUTILITIE,BF Utilities Limited
NSE/CAPLIPOINT,Caplin Point Laboratories Limited
NSE/DHUNINV,Dhunseri Investments Limited
NSE/EUROTEXIND,Eurotex Industries and Exports Limited
NSE/FORTIS,Fortis Healthcare Limited
NSE/GOLDBEES,Goldman Sachs Gold Exchange Traded Scheme
NSE/GSPL,Gujarat State Petronet Limited
NSE/HCC,Hindustan Construction Company Limited
NSE/HINDDORROL,Hindustan Dorr-Oliver Limited
NSE/IGL,Indraprastha Gas Limited
NSE/INDSWFTLTD,Ind-Swift Limited
NSE/JKLAKSHMI,JK Lakshmi Cement Limited
NSE/JUNIORBEES,Goldman Sachs Nifty Junior Exchange Traded Scheme
NSE/KESARENT,Kesar Enterprises Limited
NSE/KPRMILL,K.P.R. Mill Limited
NSE/MAGNUM,Magnum Ventures Limited
NSE/MSPL,MSP Steel & Power Limited
NSE/OFSS,Oracle Financial Services Software Limited
NSE/PENPEBS,Pennar Engineered Building Systems Limited
NSE/POCHIRAJU,Pochiraju Industries Limited
NSE/PUNJLLOYD,Punj Lloyd Limited
NSE/RATNAMANI,Ratnamani Metals & Tubes Limited
NSE/RICOAUTO,Rico Auto Industries Limited
NSE/SHILPAMED,Shilpa Medicare Limited
NSE/SKFINDIA,SKF India Limited
NSE/TAJGVK,Taj GVK Hotels & Resorts Limited
NSE/TECHNO,Techno Electric & Engineering Company Limited
NSE/VIJSHAN,Vijay Shanthi Builders Limited
NSE/WABCOINDIA,WABCO India Limited
NSE/ZEEMEDIA,Zee Media Corporation Limited
NSE/DAAWAT,LT Foods Limited
NSE/DIVISLAB,Divi's Laboratories Limited
NSE/KAMATHOTEL,Kamat Hotels (I) Limited
NSE/SHRIRAMCIT,Shriram City Union Finance Limited
NSE/SOLARINDS,Solar Industries India Limited
NSE/KEYCORPSER,Keynote Corporate Services Limited
NSE/RASOYPR,Rasoya Proteins Limited
NSE/ABBOTINDIA,Abbott India Limited
NSE/AGCNET,AGC Networks Limited
NSE/ARCOTECH,Arcotech Limited
NSE/ASIANHOTNR,Asian Hotels (North) Limited
NSE/CENTRALBK,Central Bank of India
NSE/COROMANDEL,Coromandel International Limited
NSE/DLINKINDIA,D-Link (India) Limited
NSE/ELECTCAST,Electrosteel Castings Limited
NSE/GHCL,GHCL Limited
NSE/GOLDTECH,Goldstone Technologies Limited
NSE/HDIL,Housing Development and Infrastructure Limited
NSE/INDIAGLYCO,India Glycols Limited
NSE/IOC,Indian Oil Corporation Limited
NSE/KOPRAN,Kopran Limited
NSE/LUPIN,Lupin Limited
NSE/MEGASOFT,Megasoft Limited
NSE/MOLDTKPAC,Mold-Tek Packaging Limited
NSE/MYSOREBANK,State Bank of Mysore
NSE/NUCLEUS,Nucleus Software Exports Limited
NSE/PIIND,PI Industries Limited
NSE/POWERGRID,Power Grid Corporation of India Limited
NSE/PSUBNKBEES,Goldman Sachs PSU Bank Exchange Traded Scheme
NSE/RELINFRA,Reliance Infrastructure Limited
NSE/SHANTIGEAR,Shanthi Gears Limited
NSE/SIMBHALS,Simbhaoli Sugars Limited
NSE/TIRUMALCHM,Thirumalai Chemicals Limited
NSE/WABAG,VA Tech Wabag Limited
NSE/ZEELEARN,Zee Learn Limited
NSE/ARROWTEX,Arrow Textiles Limited
NSE/BODALCHEM,Bodal Chemicals Limited
NSE/CASTROLIND,Castrol India Limited
NSE/DABUR,Dabur India Limited
NSE/DHFL,Dewan Housing Finance Corporation Limited
NSE/EDUCOMP,Educomp Solutions Limited
NSE/ESSELPACK,Essel Propack Limited
NSE/FINPIPE,Finolex Industries Limited
NSE/GENUSPOWER,Genus Power Infrastructures Limited
NSE/GODREJIND,Godrej Industries Limited
NSE/INDOSOLAR,Indosolar Limited
NSE/IRB,IRB Infrastructure Developers Limited
NSE/JINDALSAW,Jindal Saw Limited
NSE/JSWENERGY,JSW Energy Limited
NSE/KEI,KEI Industries Limited
NSE/KOTHARIPRO,Kothari Products Limited
NSE/LGBFORGE,LGB Forge Limited
NSE/ORTEL,Ortel Communications Limited
NSE/PRICOL,Pricol Limited
NSE/RALLIS,Rallis India Limited
NSE/RELGOLD,R* Shares Gold ETF
NSE/SHREERAMA,Shree Rama Multi-Tech Limited
NSE/SYNDIBANK,Syndicate Bank
NSE/TCI,Transport Corporation of India Limited
NSE/TIPSINDLTD,TIPS Industries Limited
NSE/TUBEINVEST,Tube Investments of India Limited
NSE/ALLCARGO,Allcargo Logistics Limited
NSE/APTECHT,Aptech Limited
NSE/BASML,Bannari Amman Spinning Mills Limited
NSE/BIOCON,Biocon Limited
NSE/BVCL,Barak Valley Cements Limited
NSE/CENTEXT,Century Extrusions Limited
NSE/DBREALTY,D B Realty Limited
NSE/EIDPARRY,EID Parry India Limited
NSE/ESTER,Ester Industries Limited
NSE/FLFL,Future Lifestyle Fashions Limited
NSE/GENESYS,Genesys International Corporation Limited
NSE/GODFRYPHLP,Godfrey Phillips India Limited
NSE/HATHWAY,Hathway Cable & Datacom Limited
NSE/HONAUT,Honeywell Automation India Limited
NSE/INDLMETER,IMP Powers Limited
NSE/JMFINANCIL,JM Financial Limited
NSE/KALPATPOWR,Kalpataru Power Transmission Limited
NSE/KILITCH,Kilitch Drugs (India) Limited
NSE/KSL,Kalyani Steels Limited
NSE/MTEDUCARE,MT Educare Limited
NSE/NIITTECH,NIIT Technologies Limited
NSE/OMMETALS,OM Metals Infraprojects Limited
NSE/PANACEABIO,Panacea Biotec Limited
NSE/PSL,PSL Limited
NSE/RENUKA,Shree Renuka Sugars Limited
NSE/SABEVENTS,Sab Events & Governance Now Media Limited
NSE/SHREYAS,Shreyas Shipping & Logistics Limited
NSE/SOBHA,Sobha Limited
NSE/STAR,Strides Shasun Limited
NSE/TECHNOFAB,Technofab Engineering Limited
NSE/TNPL,Tamil Nadu Newsprint & Papers Limited
NSE/TVVISION,TV Vision Limited
NSE/EONELECT,Eon Electric Limited
NSE/NORTHGATE,Northgate Technologies Limited
NSE/AUSOMENT,Ausom Enterprise Limited
NSE/INDOTHAI,Indo Thai Securities Limited
NSE/KAVVERITEL,Kavveri Telecom Products Limited
NSE/KPIT,KPIT Technologies Limited
NSE/SASKEN,Sasken Communication Technologies Limited
